"island","site","date","habitat","number","result","ground","uniqueID","type"
"guam","anao_n",2013-08-01,"native","41","unpredated","n","anao_n-native-41",NA
"guam","anao_n",2013-08-01,"native","42","unpredated","n","anao_n-native-42",NA
"guam","anao_n",2013-08-01,"native","43a","predated","n","anao_n-native-43a","B"
"guam","anao_n",2013-08-01,"native","44","unpredated","n","anao_n-native-44",NA
"guam","anao_n",2013-08-01,"native","45","unpredated","n","anao_n-native-45",NA
"guam","anao_n",2013-08-01,"native","46","unpredated","n","anao_n-native-46",NA
"guam","anao_n",2013-08-01,"native","47","unpredated","n","anao_n-native-47",NA
"guam","anao_n",2013-08-01,"native","48","unpredated","n","anao_n-native-48",NA
"guam","anao_n",2013-08-01,"native","49","unpredated","n","anao_n-native-49",NA
"guam","anao_n",2013-08-01,"native","50","unpredated","n","anao_n-native-50",NA
"guam","anao_n",2013-08-01,"native","51","unpredated","n","anao_n-native-51",NA
"guam","anao_n",2013-08-01,"native","52","unpredated","n","anao_n-native-52",NA
"guam","anao_n",2013-08-01,"native","53","unpredated","n","anao_n-native-53",NA
"guam","anao_n",2013-08-01,"native","54","unpredated","n","anao_n-native-54",NA
"guam","anao_n",2013-08-01,"native","55","unpredated","n","anao_n-native-55",NA
"guam","anao_n",2013-08-01,"native","56","unpredated","n","anao_n-native-56",NA
"guam","anao_n",2013-08-01,"native","57","unpredated","n","anao_n-native-57",NA
"guam","anao_n",2013-08-01,"native","58","predated","n","anao_n-native-58","A"
"guam","anao_n",2013-08-01,"native","59","unpredated","n","anao_n-native-59",NA
"guam","anao_n",2013-08-01,"native","60","unpredated","n","anao_n-native-60",NA
"guam","anao_n",2013-08-01,"native","61","unpredated","n","anao_n-native-61",NA
"guam","anao_n",2013-08-01,"native","62a","unpredated","n","anao_n-native-62a",NA
"guam","anao_n",2013-08-01,"native","63","unpredated","n","anao_n-native-63",NA
"guam","anao_n",2013-08-01,"native","64","unpredated","n","anao_n-native-64",NA
"guam","anao_n",2013-08-01,"native","65","unpredated","n","anao_n-native-65",NA
"guam","anao_n",2013-08-01,"native","66","unpredated","n","anao_n-native-66",NA
"guam","anao_n",2013-08-01,"native","67","unpredated","n","anao_n-native-67",NA
"guam","anao_n",2013-08-01,"native","68","predated","n","anao_n-native-68","A"
"guam","anao_n",2013-08-01,"native","69","unpredated","n","anao_n-native-69",NA
"guam","anao_n",2013-08-01,"native","70","predated","n","anao_n-native-70","B"
"guam","anao_n",2013-08-01,"native","71","unpredated","n","anao_n-native-71",NA
"guam","anao_n",2013-08-01,"native","72","unpredated","n","anao_n-native-72",NA
"guam","anao_n",2013-08-01,"native","73","predated","n","anao_n-native-73","B"
"guam","anao_n",2013-08-01,"native","74","unpredated","n","anao_n-native-74",NA
"guam","anao_n",2013-08-01,"native","75","unpredated","n","anao_n-native-75",NA
"guam","anao_n",2013-08-01,"native","76","unpredated","n","anao_n-native-76",NA
"guam","anao_n",2013-08-01,"native","77","unpredated","n","anao_n-native-77",NA
"guam","anao_n",2013-08-01,"native","78","unpredated","n","anao_n-native-78",NA
"guam","anao_n",2013-08-01,"native","79","unpredated","n","anao_n-native-79",NA
"guam","anao_n",2013-08-01,"native","80","unpredated","n","anao_n-native-80",NA
"guam","anao_n",2013-08-01,"native","81","unpredated","n","anao_n-native-81",NA
"guam","anao_n",2013-08-01,"native","82","unpredated","n","anao_n-native-82",NA
"guam","anao_n",2013-08-01,"native","83","unpredated","n","anao_n-native-83",NA
"guam","anao_n",2013-08-01,"native","84","unpredated","n","anao_n-native-84",NA
"guam","anao_n",2013-08-01,"native","85","unpredated","n","anao_n-native-85",NA
"guam","anao_n",2013-08-01,"native","86","unpredated","n","anao_n-native-86",NA
"guam","anao_n",2013-08-01,"native","87","unpredated","n","anao_n-native-87",NA
"guam","anao_n",2013-08-01,"native","88","unpredated","n","anao_n-native-88",NA
"guam","anao_n",2013-08-01,"native","89","unpredated","n","anao_n-native-89",NA
"guam","anao_n",2013-08-01,"native","90","unpredated","n","anao_n-native-90",NA
"guam","anao_n",2013-08-01,"native","91","unpredated","n","anao_n-native-91",NA
"guam","anao_n",2013-08-01,"native","92","unpredated","n","anao_n-native-92",NA
"guam","anao_n",2013-08-01,"native","93","unpredated","n","anao_n-native-93",NA
"guam","anao_n",2013-08-01,"native","94","unpredated","n","anao_n-native-94",NA
"guam","anao_n",2013-08-01,"native","95","unpredated","n","anao_n-native-95",NA
"guam","anao_n",2013-08-01,"native","96","unpredated","n","anao_n-native-96",NA
"guam","anao_n",2013-08-01,"native","98","unpredated","n","anao_n-native-98",NA
"guam","anao_n",2013-08-01,"native","99","unpredated","n","anao_n-native-99",NA
"guam","anao_n",2013-08-01,"native","100","unpredated","n","anao_n-native-100",NA
"guam","anao_n",2013-08-01,"native","101","unpredated","n","anao_n-native-101",NA
"guam","anao_n",2013-08-01,"native","102","unpredated","n","anao_n-native-102",NA
"guam","anao_n",2013-08-01,"native","103","unpredated","n","anao_n-native-103",NA
"guam","anao_n",2013-08-01,"native","104","unpredated","n","anao_n-native-104",NA
"guam","anao_n",2013-08-01,"native","105","unpredated","n","anao_n-native-105",NA
"guam","anao_n",2013-08-01,"native","106","predated","n","anao_n-native-106","C"
"guam","anao_n",2013-08-01,"native","107","unpredated","n","anao_n-native-107",NA
"guam","anao_n",2013-08-01,"native","108","unpredated","n","anao_n-native-108",NA
"guam","anao_n",2013-08-01,"native","109","unpredated","n","anao_n-native-109",NA
"guam","anao_n",2013-08-01,"native","110","unpredated","n","anao_n-native-110",NA
"guam","anao_n",2013-08-01,"native","111","unpredated","n","anao_n-native-111",NA
"guam","anao_n",2013-08-01,"native","112","unpredated","n","anao_n-native-112",NA
"guam","anao_n",2013-08-01,"native","113","unpredated","n","anao_n-native-113",NA
"guam","anao_n",2013-08-01,"native","114","unpredated","n","anao_n-native-114",NA
"guam","anao_n",2013-08-01,"native","115","unpredated","n","anao_n-native-115",NA
"guam","anao_n",2013-08-01,"native","116","unpredated","n","anao_n-native-116",NA
"guam","anao_n",2013-08-01,"native","118","unpredated","n","anao_n-native-118",NA
"guam","anao_n",2013-08-01,"native","119","unpredated","n","anao_n-native-119",NA
"guam","anao_n",2013-08-01,"native","120","unpredated","n","anao_n-native-120",NA
"guam","anao_n",2013-08-01,"native","121","unpredated","n","anao_n-native-121",NA
"guam","anao_n",2013-08-01,"native","122","unpredated","n","anao_n-native-122",NA
"guam","anao_n",2013-08-01,"native","123","unpredated","n","anao_n-native-123",NA
"guam","anao_n",2013-08-01,"native","124","unpredated","n","anao_n-native-124",NA
"guam","anao_n",2013-08-01,"native","125","predated","n","anao_n-native-125","C"
"guam","anao_n",2013-08-01,"native","126","unpredated","n","anao_n-native-126",NA
"guam","anao_n",2013-08-01,"native","127","unpredated","n","anao_n-native-127",NA
"guam","anao_n",2013-08-01,"native","128","unpredated","n","anao_n-native-128",NA
"guam","anao_n",2013-08-01,"native","129","unpredated","n","anao_n-native-129",NA
"guam","anao_n",2013-08-01,"native","130","predated","n","anao_n-native-130","B"
"guam","anao_n",2013-08-01,"native","130","predated","n","anao_n-native-130","C"
"guam","anao_n",2013-08-01,"native","131","unpredated","n","anao_n-native-131",NA
"guam","anao_n",2013-08-01,"native","132","unpredated","n","anao_n-native-132",NA
"guam","anao_n",2013-08-01,"native","133","unpredated","n","anao_n-native-133",NA
"guam","anao_n",2013-08-01,"native","134","unpredated","n","anao_n-native-134",NA
"guam","anao_n",2013-08-01,"native","135","unpredated","n","anao_n-native-135",NA
"guam","anao_n",2013-08-01,"native","136","unpredated","n","anao_n-native-136",NA
"guam","anao_n",2013-08-01,"native","137","unpredated","n","anao_n-native-137",NA
"guam","anao_n",2013-08-01,"native","138","unpredated","n","anao_n-native-138",NA
"guam","anao_n",2013-08-01,"native","139","unpredated","n","anao_n-native-139",NA
"guam","anao_n",2013-08-01,"native","140","unpredated","n","anao_n-native-140",NA
"guam","anao_n",2013-08-01,"native","141","predated","n","anao_n-native-141","B"
"guam","anao_n",2013-08-01,"native","142","unpredated","n","anao_n-native-142",NA
"guam","anao_n",2013-08-01,"native","143","unpredated","n","anao_n-native-143",NA
"guam","anao_n",2013-08-01,"native","144","unpredated","n","anao_n-native-144",NA
"guam","anao_n",2013-08-01,"native","145","unpredated","n","anao_n-native-145",NA
"guam","anao_n",2013-08-01,"native","146","unpredated","n","anao_n-native-146",NA
"guam","anao_n",2013-08-01,"native","147","predated","n","anao_n-native-147","B"
"guam","anao_n",2013-08-01,"native","148","unpredated","n","anao_n-native-148",NA
"guam","anao_n",2013-08-01,"native","149","unpredated","n","anao_n-native-149",NA
"guam","anao_n",2013-08-01,"native","150","unpredated","n","anao_n-native-150",NA
"guam","anao_n",2013-08-01,"native","43b","unpredated","n","anao_n-native-43b",NA
"guam","anao_n",2013-08-01,"native","62b","unpredated","n","anao_n-native-62b",NA
"rota","calvo",2013-07-18,"disturbed","1","unpredated","n","calvo-disturbed-1",NA
"rota","calvo",2013-07-18,"disturbed","2","predated","n","calvo-disturbed-2","P"
"rota","calvo",2013-07-18,"disturbed","3","unpredated","n","calvo-disturbed-3",NA
"rota","calvo",2013-07-18,"disturbed","4","predated","n","calvo-disturbed-4","*"
"rota","calvo",2013-07-18,"disturbed","5","unpredated","n","calvo-disturbed-5",NA
"rota","calvo",2013-07-18,"disturbed","6","unpredated","n","calvo-disturbed-6",NA
"rota","calvo",2013-07-18,"disturbed","7","unpredated","n","calvo-disturbed-7",NA
"rota","calvo",2013-07-18,"disturbed","8","unpredated","n","calvo-disturbed-8",NA
"rota","calvo",2013-07-18,"disturbed","9","predated","n","calvo-disturbed-9","*"
"rota","calvo",2013-07-18,"disturbed","10","unpredated","y","calvo-disturbed-10",NA
"rota","calvo",2013-07-18,"disturbed","11","unpredated","n","calvo-disturbed-11",NA
"rota","calvo",2013-07-18,"disturbed","12","unpredated","n","calvo-disturbed-12",NA
"rota","calvo",2013-07-18,"disturbed","13","unpredated","n","calvo-disturbed-13",NA
"rota","calvo",2013-07-18,"disturbed","14","unpredated","n","calvo-disturbed-14",NA
"rota","calvo",2013-07-18,"disturbed","16","unpredated","n","calvo-disturbed-16","P"
"rota","calvo",2013-07-18,"disturbed","19","predated","n","calvo-disturbed-19","O"
"rota","calvo",2013-07-18,"disturbed","20","unpredated","n","calvo-disturbed-20",NA
"rota","calvo",2013-07-18,"disturbed","21","unpredated","n","calvo-disturbed-21",NA
"rota","calvo",2013-07-18,"disturbed","22","unpredated","n","calvo-disturbed-22",NA
"rota","calvo",2013-07-18,"disturbed","23","unpredated","n","calvo-disturbed-23",NA
"rota","calvo",2013-07-18,"disturbed","24","unpredated","n","calvo-disturbed-24",NA
"rota","calvo",2013-07-18,"disturbed","25","unpredated","n","calvo-disturbed-25",NA
"rota","calvo",2013-07-18,"disturbed","27","unpredated","n","calvo-disturbed-27",NA
"rota","calvo",2013-07-18,"disturbed","28","unpredated","n","calvo-disturbed-28",NA
"rota","calvo",2013-07-18,"disturbed","29","predated","n","calvo-disturbed-29","P"
"rota","calvo",2013-07-18,"disturbed","30","unpredated","n","calvo-disturbed-30",NA
"rota","calvo",2013-07-18,"disturbed","31","predated","n","calvo-disturbed-31",NA
"rota","calvo",2013-07-18,"disturbed","32","unpredated","n","calvo-disturbed-32",NA
"rota","calvo",2013-07-18,"disturbed","33","unpredated","n","calvo-disturbed-33",NA
"rota","calvo",2013-07-18,"disturbed","34","unpredated","n","calvo-disturbed-34",NA
"rota","calvo",2013-07-18,"disturbed","35","unpredated","n","calvo-disturbed-35",NA
"rota","calvo",2013-07-18,"disturbed","36","unpredated","n","calvo-disturbed-36",NA
"rota","calvo",2013-07-18,"disturbed","37","unpredated","n","calvo-disturbed-37",NA
"rota","calvo",2013-07-18,"disturbed","38","unpredated","n","calvo-disturbed-38",NA
"rota","calvo",2013-07-18,"disturbed","39","unpredated","n","calvo-disturbed-39","*"
"rota","calvo",2013-07-18,"disturbed","40","unpredated","n","calvo-disturbed-40",NA
"rota","calvo",2013-07-18,"disturbed","41","unpredated","n","calvo-disturbed-41",NA
"rota","calvo",2013-07-18,"disturbed","42","unpredated","n","calvo-disturbed-42",NA
"rota","calvo",2013-07-18,"disturbed","43","predated","n","calvo-disturbed-43","*"
"rota","calvo",2013-07-18,"disturbed","46","unpredated","n","calvo-disturbed-46",NA
"rota","calvo",2013-07-18,"disturbed","47","unpredated","n","calvo-disturbed-47",NA
"rota","calvo",2013-07-18,"disturbed","48","unpredated","n","calvo-disturbed-48",NA
"rota","calvo",2013-07-18,"disturbed","49","unpredated","n","calvo-disturbed-49",NA
"rota","calvo",2013-07-18,"disturbed","50","unpredated","n","calvo-disturbed-50",NA
"rota","calvo",2013-07-18,"disturbed","51","unpredated","n","calvo-disturbed-51",NA
"rota","calvo",2013-07-18,"disturbed","52","unpredated","n","calvo-disturbed-52",NA
"rota","calvo",2013-07-18,"disturbed","53","unpredated","n","calvo-disturbed-53",NA
"rota","calvo",2013-07-18,"disturbed","54","unpredated","n","calvo-disturbed-54",NA
"rota","calvo",2013-07-18,"disturbed","55","unpredated","n","calvo-disturbed-55",NA
"rota","calvo",2013-07-18,"disturbed","56","unpredated","n","calvo-disturbed-56",NA
"rota","calvo",2013-07-18,"disturbed","57","unpredated","n","calvo-disturbed-57",NA
"rota","calvo",2013-07-18,"disturbed","58","unpredated","n","calvo-disturbed-58",NA
"rota","calvo",2013-07-18,"disturbed","59","unpredated","n","calvo-disturbed-59",NA
"rota","calvo",2013-07-18,"disturbed","60","unpredated","n","calvo-disturbed-60",NA
"rota","calvo",2013-07-18,"disturbed","61","predated","n","calvo-disturbed-61",NA
"rota","calvo",2013-07-18,"disturbed","62","unpredated","n","calvo-disturbed-62",NA
"rota","calvo",2013-07-18,"disturbed","63","unpredated","n","calvo-disturbed-63",NA
"rota","calvo",2013-07-18,"disturbed","64","unpredated","n","calvo-disturbed-64",NA
"rota","calvo",2013-07-18,"disturbed","65","unpredated","n","calvo-disturbed-65",NA
"rota","calvo",2013-07-18,"disturbed","66","unpredated","n","calvo-disturbed-66",NA
"rota","calvo",2013-07-18,"disturbed","67","unpredated","n","calvo-disturbed-67",NA
"rota","calvo",2013-07-18,"disturbed","69","unpredated","n","calvo-disturbed-69",NA
"rota","calvo",2013-07-18,"disturbed","70","unpredated","n","calvo-disturbed-70",NA
"rota","calvo",2013-07-18,"disturbed","72","unpredated","n","calvo-disturbed-72",NA
"rota","calvo",2013-07-18,"disturbed","73","unpredated","n","calvo-disturbed-73",NA
"rota","calvo",2013-07-18,"disturbed","74","unpredated","n","calvo-disturbed-74",NA
"rota","calvo",2013-07-18,"disturbed","76","unpredated","n","calvo-disturbed-76",NA
"rota","calvo",2013-07-18,"disturbed","77","predated","n","calvo-disturbed-77","*"
"rota","calvo",2013-07-18,"disturbed","78","unpredated","n","calvo-disturbed-78",NA
"rota","calvo",2013-07-18,"disturbed","79","predated","n","calvo-disturbed-79","P"
"rota","calvo",2013-07-18,"disturbed","80","unpredated","n","calvo-disturbed-80",NA
"rota","calvo",2013-07-18,"disturbed","81","predated","n","calvo-disturbed-81","*"
"rota","calvo",2013-07-18,"disturbed","82","unpredated","n","calvo-disturbed-82",NA
"rota","calvo",2013-07-18,"disturbed","84","unpredated","n","calvo-disturbed-84",NA
"rota","calvo",2013-07-18,"disturbed","85","unpredated","n","calvo-disturbed-85",NA
"rota","calvo",2013-07-18,"disturbed","86","unpredated","n","calvo-disturbed-86",NA
"rota","calvo",2013-07-18,"disturbed","87","unpredated","n","calvo-disturbed-87",NA
"rota","calvo",2013-07-18,"disturbed","88","unpredated","n","calvo-disturbed-88",NA
"rota","calvo",2013-07-18,"disturbed","89","unpredated","n","calvo-disturbed-89",NA
"rota","calvo",2013-07-18,"disturbed","90","unpredated","n","calvo-disturbed-90",NA
"rota","calvo",2013-07-18,"disturbed","91","unpredated","n","calvo-disturbed-91",NA
"rota","calvo",2013-07-18,"disturbed","92","unpredated","n","calvo-disturbed-92",NA
"rota","calvo",2013-07-18,"disturbed","93","unpredated","n","calvo-disturbed-93",NA
"rota","calvo",2013-07-18,"disturbed","94","unpredated","n","calvo-disturbed-94",NA
"rota","calvo",2013-07-18,"disturbed","95","unpredated","n","calvo-disturbed-95",NA
"rota","calvo",2013-07-18,"disturbed","96","unpredated","n","calvo-disturbed-96",NA
"rota","calvo",2013-07-18,"disturbed","97","unpredated","n","calvo-disturbed-97",NA
"rota","calvo",2013-07-18,"disturbed","98","unpredated","n","calvo-disturbed-98",NA
"rota","calvo",2013-07-18,"disturbed","99","unpredated","n","calvo-disturbed-99",NA
"rota","calvo",2013-07-18,"disturbed","100","unpredated","n","calvo-disturbed-100",NA
"rota","calvo",2013-07-18,"disturbed","101","unpredated","n","calvo-disturbed-101",NA
"rota","calvo",2013-07-18,"disturbed","102","unpredated","n","calvo-disturbed-102",NA
"rota","calvo",2013-07-18,"disturbed","103","unpredated","n","calvo-disturbed-103",NA
"rota","calvo",2013-07-18,"disturbed","104","predated","n","calvo-disturbed-104","P"
"rota","calvo",2013-07-18,"disturbed","105","unpredated","n","calvo-disturbed-105",NA
"rota","calvo",2013-07-18,"disturbed","106","unpredated","y","calvo-disturbed-106",NA
"rota","calvo",2013-07-18,"disturbed","107","unpredated","n","calvo-disturbed-107",NA
"rota","calvo",2013-07-18,"disturbed","108","unpredated","n","calvo-disturbed-108",NA
"rota","calvo",2013-07-18,"disturbed","109","unpredated","n","calvo-disturbed-109",NA
"rota","calvo",2013-07-18,"disturbed","110","unpredated","n","calvo-disturbed-110",NA
"rota","calvo",2013-07-18,"disturbed","111","unpredated","n","calvo-disturbed-111",NA
"rota","calvo",2013-07-18,"disturbed","112","unpredated","y","calvo-disturbed-112",NA
"rota","calvo",2013-07-18,"disturbed","113","unpredated","n","calvo-disturbed-113",NA
"rota","calvo",2013-07-18,"disturbed","114","unpredated","n","calvo-disturbed-114",NA
"rota","calvo",2013-07-18,"disturbed","115","unpredated","n","calvo-disturbed-115",NA
"rota","calvo",2013-07-18,"disturbed","116","predated","n","calvo-disturbed-116","*"
"rota","calvo",2013-07-18,"disturbed","117","unpredated","n","calvo-disturbed-117",NA
"rota","calvo",2013-07-18,"disturbed","118","unpredated","n","calvo-disturbed-118",NA
"rota","calvo",2013-07-18,"disturbed","119","unpredated","n","calvo-disturbed-119",NA
"rota","calvo",2013-07-18,"disturbed","120","unpredated","n","calvo-disturbed-120",NA
"rota","calvo",2013-07-18,"disturbed","121","unpredated","n","calvo-disturbed-121",NA
"rota","calvo",2013-07-18,"disturbed","122","unpredated","n","calvo-disturbed-122",NA
"rota","calvo",2013-07-18,"disturbed","123","unpredated","n","calvo-disturbed-123",NA
"rota","calvo",2013-07-18,"disturbed","124","predated","n","calvo-disturbed-124","P"
"rota","calvo",2013-07-18,"disturbed","125","predated","n","calvo-disturbed-125","P"
"rota","calvo",2013-07-18,"disturbed","126","unpredated","n","calvo-disturbed-126",NA
"rota","calvo",2013-07-18,"disturbed","127","unpredated","n","calvo-disturbed-127",NA
"rota","calvo",2013-07-18,"disturbed","128","unpredated","n","calvo-disturbed-128",NA
"rota","calvo",2013-07-18,"disturbed","129","unpredated","n","calvo-disturbed-129",NA
"rota","calvo",2013-07-18,"disturbed","130","unpredated","n","calvo-disturbed-130",NA
"rota","calvo",2013-07-18,"disturbed","131","unpredated","n","calvo-disturbed-131",NA
"rota","calvo",2013-07-18,"disturbed","132","unpredated","n","calvo-disturbed-132",NA
"rota","calvo",2013-07-18,"disturbed","133","predated","n","calvo-disturbed-133","I"
"rota","calvo",2013-07-18,"disturbed","134","unpredated","n","calvo-disturbed-134",NA
"rota","calvo",2013-07-18,"disturbed","135","unpredated","n","calvo-disturbed-135",NA
"rota","calvo",2013-07-18,"disturbed","136","predated","n","calvo-disturbed-136","P"
"rota","calvo",2013-07-18,"disturbed","137","unpredated","n","calvo-disturbed-137",NA
"rota","calvo",2013-07-18,"disturbed","138","unpredated","n","calvo-disturbed-138",NA
"rota","calvo",2013-07-18,"disturbed","139","unpredated","n","calvo-disturbed-139",NA
"rota","calvo",2013-07-18,"disturbed","140","unpredated","n","calvo-disturbed-140",NA
"rota","calvo",2013-07-18,"disturbed","141","unpredated","n","calvo-disturbed-141",NA
"rota","calvo",2013-07-18,"disturbed","142","unpredated","n","calvo-disturbed-142",NA
"rota","calvo",2013-07-18,"disturbed","143","predated","n","calvo-disturbed-143","G"
"rota","calvo",2013-07-18,"disturbed","144","predated","n","calvo-disturbed-144","NP"
"rota","calvo",2013-07-18,"disturbed","145","unpredated","n","calvo-disturbed-145",NA
"rota","calvo",2013-07-18,"disturbed","146","unpredated","n","calvo-disturbed-146",NA
"rota","calvo",2013-07-18,"disturbed","147","unpredated","n","calvo-disturbed-147",NA
"rota","calvo",2013-07-18,"disturbed","148","unpredated","n","calvo-disturbed-148",NA
"rota","calvo",2013-07-18,"disturbed","149","unpredated","n","calvo-disturbed-149",NA
"rota","calvo",2013-07-18,"disturbed","150","unpredated","n","calvo-disturbed-150",NA
"rota","grvp",2013-07-16,"native","1","predated","n","grvp-native-1","B"
"rota","grvp",2013-07-16,"native","2","unpredated","n","grvp-native-2",NA
"rota","grvp",2013-07-16,"native","3","unpredated","n","grvp-native-3",NA
"rota","grvp",2013-07-16,"native","4","unpredated","n","grvp-native-4",NA
"rota","grvp",2013-07-16,"native","5","unpredated","n","grvp-native-5",NA
"rota","grvp",2013-07-16,"native","6","unpredated","n","grvp-native-6",NA
"rota","grvp",2013-07-16,"native","7","unpredated","n","grvp-native-7",NA
"rota","grvp",2013-07-16,"native","8","predated","n","grvp-native-8","B"
"rota","grvp",2013-07-16,"native","9","unpredated","n","grvp-native-9",NA
"rota","grvp",2013-07-16,"native","10","predated","n","grvp-native-10","*"
"rota","grvp",2013-07-16,"native","11","unpredated","n","grvp-native-11",NA
"rota","grvp",2013-07-16,"native","12","unpredated","n","grvp-native-12",NA
"rota","grvp",2013-07-16,"native","13","predated","n","grvp-native-13","NP"
"rota","grvp",2013-07-16,"native","14","unpredated","n","grvp-native-14",NA
"rota","grvp",2013-07-16,"native","15","unpredated","n","grvp-native-15",NA
"rota","grvp",2013-07-16,"native","16","unpredated","n","grvp-native-16",NA
"rota","grvp",2013-07-16,"native","17","unpredated","n","grvp-native-17",NA
"rota","grvp",2013-07-16,"native","18","unpredated","n","grvp-native-18",NA
"rota","grvp",2013-07-16,"native","19","unpredated","n","grvp-native-19",NA
"rota","grvp",2013-07-16,"native","20","unpredated","y","grvp-native-20",NA
"rota","grvp",2013-07-16,"native","21","unpredated","n","grvp-native-21",NA
"rota","grvp",2013-07-16,"native","22","unpredated","n","grvp-native-22",NA
"rota","grvp",2013-07-16,"native","23","unpredated","n","grvp-native-23",NA
"rota","grvp",2013-07-16,"native","24","unpredated","n","grvp-native-24",NA
"rota","grvp",2013-07-16,"native","25","predated","n","grvp-native-25","M"
"rota","grvp",2013-07-16,"native","26","unpredated","n","grvp-native-26",NA
"rota","grvp",2013-07-16,"native","27","unpredated","n","grvp-native-27",NA
"rota","grvp",2013-07-16,"native","28","predated","n","grvp-native-28","C"
"rota","grvp",2013-07-16,"native","29","unpredated","n","grvp-native-29",NA
"rota","grvp",2013-07-16,"native","30","unpredated","n","grvp-native-30",NA
"rota","grvp",2013-07-16,"native","31","unpredated","n","grvp-native-31",NA
"rota","grvp",2013-07-16,"native","32","unpredated","n","grvp-native-32",NA
"rota","grvp",2013-07-16,"native","33","unpredated","n","grvp-native-33",NA
"rota","grvp",2013-07-16,"native","34","unpredated","n","grvp-native-34",NA
"rota","grvp",2013-07-16,"native","35","predated","n","grvp-native-35","H"
"rota","grvp",2013-07-16,"native","36","unpredated","n","grvp-native-36",NA
"rota","grvp",2013-07-16,"native","37","unpredated","n","grvp-native-37",NA
"rota","grvp",2013-07-16,"native","38","unpredated","n","grvp-native-38",NA
"rota","grvp",2013-07-16,"native","39","unpredated","n","grvp-native-39",NA
"rota","grvp",2013-07-16,"native","40","unpredated","n","grvp-native-40",NA
"rota","grvp",2013-07-16,"native","41","unpredated","n","grvp-native-41",NA
"rota","grvp",2013-07-16,"native","42","unpredated","n","grvp-native-42",NA
"rota","grvp",2013-07-16,"native","43","unpredated","n","grvp-native-43",NA
"rota","grvp",2013-07-16,"native","44","unpredated","n","grvp-native-44",NA
"rota","grvp",2013-07-16,"native","45","unpredated","n","grvp-native-45",NA
"rota","grvp",2013-07-16,"native","46","unpredated","n","grvp-native-46",NA
"rota","grvp",2013-07-16,"native","47","unpredated","n","grvp-native-47",NA
"rota","grvp",2013-07-16,"native","48","unpredated","n","grvp-native-48",NA
